Date,Price
"Dec 17, 2018",71.59
"Dec 16, 2018",71.92
"Dec 14, 2018",71.92
"Dec 13, 2018",71.53
"Dec 12, 2018",71.84
"Dec 11, 2018",72.29
"Dec 10, 2018",72.52
"Dec 09, 2018",71.375
"Dec 07, 2018",70.86
"Dec 06, 2018",70.85
"Dec 05, 2018",70.56
"Dec 04, 2018",70.53
"Dec 03, 2018",70.44
"Dec 02, 2018",69.77
"Nov 30, 2018",69.65
"Nov 29, 2018",69.78
"Nov 28, 2018",70.64
"Nov 27, 2018",70.785
"Nov 26, 2018",70.82
"Nov 25, 2018",70.675
"Nov 23, 2018",70.655
"Nov 22, 2018",70.69
"Nov 21, 2018",71.305
"Nov 20, 2018",71.43
"Nov 19, 2018",71.61
"Nov 18, 2018",71.785
"Nov 16, 2018",71.98
"Nov 15, 2018",71.915
"Nov 14, 2018",72.31
"Nov 13, 2018",72.615
"Nov 12, 2018",72.86
"Nov 11, 2018",72.48
"Nov 09, 2018",72.48
"Nov 08, 2018",72.38
"Nov 07, 2018",72.45
"Nov 06, 2018",72.955
"Nov 05, 2018",73.08
"Nov 04, 2018",72.915
"Nov 02, 2018",72.44
"Nov 01, 2018",73.455
"Oct 31, 2018",73.96
"Oct 30, 2018",73.68
"Oct 29, 2018",73.4
"Oct 28, 2018",73.461
"Oct 26, 2018",73.46
"Oct 25, 2018",73.23
"Oct 24, 2018",73.23
"Oct 23, 2018",73.55
"Oct 22, 2018",73.56
"Oct 21, 2018",73.475
"Oct 19, 2018",73.375
"Oct 18, 2018",73.53
"Oct 17, 2018",73.6
"Oct 16, 2018",73.465
"Oct 15, 2018",73.77
"Oct 14, 2018",73.686
"Oct 12, 2018",73.61
"Oct 11, 2018",74.05
"Oct 10, 2018",74.25
"Oct 09, 2018",74.34
"Oct 08, 2018",74.065
"Oct 07, 2018",73.771
"Oct 05, 2018",73.77
"Oct 04, 2018",73.63
"Oct 03, 2018",73.345
"Oct 02, 2018",72.925
"Oct 01, 2018",72.925
"Sep 30, 2018",72.515
"Sep 28, 2018",72.51
"Sep 27, 2018",72.57
"Sep 26, 2018",72.6
"Sep 25, 2018",72.685
"Sep 24, 2018",72.67
"Sep 23, 2018",72.24
"Sep 21, 2018",72.24
"Sep 20, 2018",72.015
"Sep 19, 2018",72.36
"Sep 18, 2018",72.71
"Sep 17, 2018",72.54
"Sep 16, 2018",72.105
"Sep 14, 2018",71.88
"Sep 13, 2018",72.037
"Sep 12, 2018",72.16
"Sep 11, 2018",72.64
"Sep 10, 2018",72.455
"Sep 09, 2018",72.105
"Sep 07, 2018",71.79
"Sep 06, 2018",71.95
"Sep 05, 2018",71.755
"Sep 04, 2018",71.585
"Sep 03, 2018",71.215
"Sep 02, 2018",71.005
"Aug 31, 2018",71.005
"Aug 30, 2018",70.745
"Aug 29, 2018",70.535
"Aug 28, 2018",70.1
"Aug 27, 2018",70.165
"Aug 26, 2018",69.775
"Aug 24, 2018",69.97
