Date,Stock,Open,High,Low,Close,Volume,Bullish,Neutral,Bearish,USDINR
2015-01-01,TCS,2567.0,2567.0,2541.0,2545.55,183415.0,0.517375,0.289575,0.19305,63.355
2015-01-01,TATAMOTORS,494.5,499.45,492.25,498.45,934528.0,0.517375,0.289575,0.19305,63.355
2015-01-01,TATASTEEL,397.1,406.0,397.1,404.45,2531499.0,0.517375,0.289575,0.19305,63.355
2015-01-01,TATACOFFEE,954.0,963.75,936.0,957.9,28052.0,0.517375,0.289575,0.19305,63.355
2015-01-01,TITAN,381.3,382.55,377.8,379.8,269753.0,0.517375,0.289575,0.19305,63.355
2015-01-02,TCS,2551.0,2590.95,2550.6,2579.45,462870.0,0.410072,0.31295,0.276978,63.285
2015-01-02,TATAMOTORS,497.25,517.4,497.25,511.8,4148596.0,0.410072,0.31295,0.276978,63.285
2015-01-02,TATASTEEL,406.0,413.0,406.0,410.75,3433980.0,0.410072,0.31295,0.276978,63.285
2015-01-02,TATACOFFEE,958.0,969.5,950.0,954.6,54029.0,0.410072,0.31295,0.276978,63.285
2015-01-02,TITAN,379.8,388.5,379.8,382.8,623981.0,0.410072,0.31295,0.276978,63.285
2015-01-05,TCS,2581.0,2599.9,2524.65,2540.25,877121.0,0.410072,0.31295,0.276978,63.345
2015-01-05,TATAMOTORS,510.1,526.0,506.7,523.8,6686952.0,0.410072,0.31295,0.276978,63.345
2015-01-05,TATASTEEL,413.0,421.45,413.0,416.7,5205645.0,0.410072,0.31295,0.276978,63.345
2015-01-05,TATACOFFEE,952.0,963.05,945.55,948.6,31717.0,0.410072,0.31295,0.276978,63.345
2015-01-05,TITAN,384.0,389.6,382.8,385.9,551576.0,0.410072,0.31295,0.276978,63.345
2015-01-06,TCS,2529.1,2529.1,2440.0,2446.6,1211892.0,0.410072,0.31295,0.276978,63.575
2015-01-06,TATAMOTORS,514.35,514.35,499.25,501.4,7894918.0,0.410072,0.31295,0.276978,63.575
2015-01-06,TATASTEEL,414.0,414.0,394.35,396.5,6170681.0,0.410072,0.31295,0.276978,63.575
2015-01-06,TATACOFFEE,941.2,947.4,932.0,933.9,35174.0,0.410072,0.31295,0.276978,63.575
2015-01-06,TITAN,382.2,383.4,369.2,372.7,519159.0,0.410072,0.31295,0.276978,63.575
2015-01-07,TCS,2470.0,2479.15,2407.45,2417.7,1318166.0,0.410072,0.31295,0.276978,63.28
2015-01-07,TATAMOTORS,495.0,500.4,489.2,493.85,9134678.0,0.410072,0.31295,0.276978,63.28
2015-01-07,TATASTEEL,397.8,397.8,383.6,388.9,4749099.0,0.410072,0.31295,0.276978,63.28
2015-01-07,TATACOFFEE,932.2,943.85,923.0,926.85,34845.0,0.410072,0.31295,0.276978,63.28
2015-01-07,TITAN,372.9,377.4,370.0,374.6,397373.0,0.410072,0.31295,0.276978,63.28
2015-01-08,TCS,2442.4,2449.0,2420.55,2443.8,782704.0,0.410072,0.31295,0.276978,62.675
2015-01-08,TATAMOTORS,504.0,514.8,501.0,512.0,5476843.0,0.410072,0.31295,0.276978,62.675
2015-01-08,TATASTEEL,394.0,396.7,390.6,394.95,3169917.0,0.410072,0.31295,0.276978,62.675
2015-01-08,TATACOFFEE,931.0,945.0,931.0,942.3,33289.0,0.410072,0.31295,0.276978,62.675
2015-01-08,TITAN,380.0,380.0,368.75,372.9,672501.0,0.410072,0.31295,0.276978,62.675
2015-01-09,TCS,2455.0,2519.9,2450.0,2512.3,1598821.0,0.461059,0.323988,0.214953,62.355
2015-01-09,TATAMOTORS,521.25,524.95,515.5,522.3,4010545.0,0.461059,0.323988,0.214953,62.355
2015-01-09,TATASTEEL,402.0,404.9,395.1,399.65,5061000.0,0.461059,0.323988,0.214953,62.355
2015-01-09,TATACOFFEE,946.0,962.0,936.0,946.0,73227.0,0.461059,0.323988,0.214953,62.355
2015-01-09,TITAN,376.0,376.9,369.4,372.9,985975.0,0.461059,0.323988,0.214953,62.355
2015-01-12,TCS,2517.0,2528.0,2480.25,2509.7,798003.0,0.461059,0.323988,0.214953,62.075
2015-01-12,TATAMOTORS,518.5,524.7,511.25,522.3,2533395.0,0.461059,0.323988,0.214953,62.075
2015-01-12,TATASTEEL,399.5,399.5,393.0,396.75,2690982.0,0.461059,0.323988,0.214953,62.075
2015-01-12,TATACOFFEE,948.0,962.3,942.0,946.4,47643.0,0.461059,0.323988,0.214953,62.075
2015-01-12,TITAN,373.25,378.5,370.6,376.8,344364.0,0.461059,0.323988,0.214953,62.075
2015-01-13,TCS,2520.0,2530.4,2480.1,2497.9,734216.0,0.461059,0.323988,0.214953,61.98
2015-01-13,TATAMOTORS,520.35,525.7,515.25,519.45,4282874.0,0.461059,0.323988,0.214953,61.98
2015-01-13,TATASTEEL,397.0,398.85,390.2,391.5,3002748.0,0.461059,0.323988,0.214953,61.98
2015-01-13,TATACOFFEE,948.0,960.0,941.2,948.55,86646.0,0.461059,0.323988,0.214953,61.98
2015-01-13,TITAN,375.85,384.0,370.8,372.2,715002.0,0.461059,0.323988,0.214953,61.98
2015-01-14,TCS,2516.0,2531.8,2500.5,2521.95,893548.0,0.461059,0.323988,0.214953,62.095
2015-01-14,TATAMOTORS,521.5,526.65,513.95,520.35,6006186.0,0.461059,0.323988,0.214953,62.095
2015-01-14,TATASTEEL,391.45,391.45,375.5,376.85,7129562.0,0.461059,0.323988,0.214953,62.095
