Date,Stock,Open,High,Low,Close,Volume
2014-01-01,TCS,2180.1,2184.5,2151.1,2153.3,264976.0
2014-01-02,TCS,2166.0,2189.0,2156.15,2167.0,863474.0
2014-01-03,TCS,2164.7,2229.1,2147.25,2222.2,1309087.0
2014-01-06,TCS,2229.0,2244.0,2197.0,2239.6,1155905.0
2014-01-07,TCS,2240.0,2256.45,2199.0,2206.15,1448743.0
2014-01-08,TCS,2212.0,2244.0,2210.0,2232.65,1275010.0
2014-01-09,TCS,2228.75,2255.5,2222.1,2241.95,1291103.0
2014-01-10,TCS,2260.0,2309.8,2235.0,2280.9,1684667.0
2014-01-13,TCS,2285.0,2384.0,2285.0,2368.75,1907158.0
2014-01-14,TCS,2372.0,2384.8,2320.0,2326.75,1487482.0
2014-01-15,TCS,2342.45,2378.2,2327.0,2353.6,1524427.0
2014-01-16,TCS,2380.0,2380.1,2325.0,2350.3,1498981.0
2014-01-17,TCS,2298.0,2298.0,2206.05,2213.05,3782378.0
2014-01-20,TCS,2218.95,2350.0,2215.5,2338.2,3005279.0
2014-01-21,TCS,2334.0,2339.25,2275.1,2280.3,1566141.0
2014-01-22,TCS,2287.1,2296.85,2264.1,2274.05,1192015.0
2014-01-23,TCS,2268.1,2276.7,2237.3,2252.45,1145381.0
2014-01-24,TCS,2244.0,2283.25,2235.0,2248.7,925133.0
2014-01-27,TCS,2226.0,2259.5,2220.1,2229.6,1266474.0
2014-01-28,TCS,2232.0,2247.85,2196.1,2212.35,1426083.0
2014-01-29,TCS,2240.0,2240.0,2205.0,2209.8,849038.0
2014-01-30,TCS,2198.05,2227.0,2190.0,2217.6,1112625.0
2014-01-31,TCS,2225.1,2269.8,2221.0,2241.05,1087123.0
2014-02-03,TCS,2222.0,2244.25,2190.8,2194.45,681240.0
2014-02-04,TCS,2174.0,2175.0,2112.05,2151.35,1347083.0
2014-02-05,TCS,2163.8,2200.0,2140.0,2194.4,926825.0
2014-02-06,TCS,2180.0,2189.9,2145.0,2175.25,961326.0
2014-02-07,TCS,2190.0,2195.0,2131.0,2144.4,995456.0
2014-02-10,TCS,2144.0,2144.0,2085.1,2093.55,2009635.0
2014-02-11,TCS,2100.0,2126.5,2096.0,2101.7,1784393.0
2014-02-12,TCS,2118.0,2123.6,2095.0,2105.45,1537174.0
2014-02-13,TCS,2107.0,2138.4,2096.5,2133.75,1047175.0
2014-02-14,TCS,2137.9,2184.75,2128.1,2167.9,955031.0
2014-02-17,TCS,2160.0,2186.0,2147.2,2165.4,835197.0
2014-02-18,TCS,2165.0,2191.0,2155.85,2166.0,763458.0
2014-02-19,TCS,2170.0,2215.0,2162.25,2197.95,536459.0
2014-02-20,TCS,2206.0,2222.0,2182.8,2189.35,793962.0
2014-02-21,TCS,2198.0,2213.0,2190.75,2205.7,858930.0
2014-02-24,TCS,2204.0,2205.25,2170.1,2177.9,1225212.0
2014-02-25,TCS,2189.0,2199.5,2180.0,2188.9,1652687.0
2014-02-26,TCS,2194.0,2195.0,2177.15,2182.15,1929856.0
2014-02-28,TCS,2161.0,2280.0,2160.15,2275.75,1994096.0
2014-03-03,TCS,2271.8,2299.0,2228.0,2240.05,803039.0
2014-03-04,TCS,2233.2,2254.0,2224.0,2240.65,1015166.0
2014-03-05,TCS,2254.85,2286.25,2242.55,2251.9,1151003.0
2014-03-06,TCS,2252.85,2260.0,2232.15,2240.75,657281.0
2014-03-07,TCS,2245.5,2250.05,2152.8,2228.5,2349236.0
2014-03-10,TCS,2228.1,2228.5,2135.0,2142.65,1914884.0
2014-03-11,TCS,2155.0,2177.65,2122.0,2151.65,1275127.0
2014-03-12,TCS,2153.0,2189.75,2153.0,2179.45,834894.0
2014-03-13,TCS,2148.05,2202.0,2136.85,2149.55,1009942.0
2014-03-14,TCS,2141.0,2160.5,2124.3,2139.55,1080623.0
2014-03-18,TCS,2135.5,2151.8,2104.25,2122.0,1282921.0
2014-03-19,TCS,2075.0,2075.0,2013.05,2039.4,4326331.0
2014-03-20,TCS,2038.0,2122.9,2011.4,2108.2,2864478.0
2014-03-21,TCS,2125.0,2145.0,2085.0,2127.0,2340388.0
2014-03-22,TCS,2125.0,2141.9,2115.45,2128.25,94751.0
2014-03-24,TCS,2136.95,2157.95,2126.15,2152.6,1091507.0
2014-03-25,TCS,2144.0,2172.0,2130.0,2146.65,1124984.0
2014-03-26,TCS,2148.05,2158.5,2087.55,2093.5,1596175.0
2014-03-27,TCS,2100.95,2115.0,2065.05,2094.25,2506238.0
2014-03-28,TCS,2097.0,2122.85,2080.05,2102.1,1485581.0
2014-03-31,TCS,2104.0,2144.95,2082.0,2133.15,1341634.0
2014-04-01,TCS,2145.0,2185.0,2144.9,2176.7,1377966.0
2014-04-02,TCS,2190.0,2202.0,2161.05,2172.25,1881508.0
2014-04-03,TCS,2172.85,2182.0,2147.6,2166.5,790597.0
2014-04-04,TCS,2172.0,2187.0,2130.0,2138.85,847328.0
2014-04-07,TCS,2130.1,2165.95,2120.7,2153.8,1297493.0
2014-04-09,TCS,2152.0,2162.0,2105.0,2140.4,1675250.0
2014-04-10,TCS,2140.4,2148.65,2115.2,2126.15,1076443.0
2014-04-11,TCS,2118.0,2174.9,2100.0,2164.1,1170371.0
2014-04-15,TCS,2181.0,2258.0,2174.05,2252.75,1798622.0
2014-04-16,TCS,2264.0,2264.0,2184.2,2196.3,1737955.0
2014-04-17,TCS,2220.0,2227.0,2142.7,2222.9,3840719.0
2014-04-21,TCS,2220.0,2242.9,2211.3,2221.75,921297.0
2014-04-22,TCS,2233.95,2249.9,2219.9,2221.05,743137.0
2014-04-23,TCS,2231.4,2243.9,2201.1,2213.75,969496.0
2014-04-25,TCS,2227.0,2235.0,2193.2,2205.25,1580224.0
2014-04-28,TCS,2205.25,2222.7,2180.1,2191.35,1275383.0
2014-04-29,TCS,2186.0,2206.35,2176.9,2194.25,923090.0
2014-04-30,TCS,2185.1,2205.6,2181.0,2189.2,1198689.0
2014-05-02,TCS,2181.25,2219.9,2181.25,2208.45,958889.0
2014-05-05,TCS,2210.8,2229.0,2204.15,2213.7,657239.0
2014-05-06,TCS,2213.7,2221.6,2190.0,2198.9,480616.0
2014-05-07,TCS,2191.05,2203.0,2140.1,2165.55,2358091.0
2014-05-08,TCS,2165.1,2181.8,2147.65,2162.05,1303450.0
2014-05-09,TCS,2152.0,2184.7,2152.0,2159.9,899720.0
