Date,Stock,Open,High,Low,Close,Volume
2014-01-01,TATACOFFEE,986.0,1005.0,980.3,992.45,97111.0
2014-01-02,TATACOFFEE,995.25,1012.4,981.0,982.6,102212.0
2014-01-03,TATACOFFEE,980.0,990.5,977.0,987.05,38562.0
2014-01-06,TATACOFFEE,990.0,994.7,982.0,984.8,28273.0
2014-01-07,TATACOFFEE,981.4,1030.0,981.4,1017.75,282737.0
2014-01-08,TATACOFFEE,1025.7,1043.0,1014.75,1028.85,264972.0
2014-01-09,TATACOFFEE,1034.0,1055.0,1016.2,1049.9,321774.0
2014-01-10,TATACOFFEE,1050.0,1090.9,1030.75,1046.75,404620.0
2014-01-13,TATACOFFEE,1051.95,1055.7,1012.1,1021.95,94166.0
2014-01-14,TATACOFFEE,1024.0,1037.7,1013.0,1017.65,73627.0
2014-01-15,TATACOFFEE,1016.25,1032.0,1016.0,1019.85,51543.0
2014-01-16,TATACOFFEE,1021.25,1024.65,990.2,993.8,52341.0
2014-01-17,TATACOFFEE,999.0,999.0,961.0,963.9,91620.0
2014-01-20,TATACOFFEE,965.0,974.25,956.1,969.95,87590.0
2014-01-21,TATACOFFEE,976.0,987.8,970.0,973.5,92679.0
2014-01-22,TATACOFFEE,984.0,989.95,945.1,951.1,229247.0
2014-01-23,TATACOFFEE,952.0,957.0,925.0,926.75,160071.0
2014-01-24,TATACOFFEE,927.7,930.9,909.0,911.8,97841.0
2014-01-27,TATACOFFEE,900.0,902.0,882.0,889.25,72130.0
2014-01-28,TATACOFFEE,882.15,903.5,882.15,891.6,55634.0
2014-01-29,TATACOFFEE,895.0,919.0,894.95,897.2,103360.0
2014-01-30,TATACOFFEE,887.95,892.0,870.05,879.75,83581.0
2014-01-31,TATACOFFEE,877.1,894.9,874.05,878.1,63844.0
2014-02-03,TATACOFFEE,873.0,891.8,873.0,877.35,64225.0
2014-02-04,TATACOFFEE,870.0,908.0,870.0,896.95,159868.0
2014-02-05,TATACOFFEE,902.0,926.15,893.95,898.0,177510.0
2014-02-06,TATACOFFEE,904.7,916.0,895.8,909.65,86089.0
2014-02-07,TATACOFFEE,915.0,928.0,910.0,914.1,118976.0
2014-02-10,TATACOFFEE,920.0,920.8,893.25,896.0,52464.0
2014-02-11,TATACOFFEE,895.05,918.9,895.05,907.7,102458.0
2014-02-12,TATACOFFEE,908.0,915.0,898.0,901.55,30267.0
2014-02-13,TATACOFFEE,907.4,907.4,878.2,880.65,58543.0
2014-02-14,TATACOFFEE,890.0,893.0,871.0,881.4,36834.0
2014-02-17,TATACOFFEE,887.65,887.65,872.5,874.45,37048.0
2014-02-18,TATACOFFEE,878.3,885.0,868.35,879.4,47448.0
2014-02-19,TATACOFFEE,884.4,915.0,884.4,904.55,154236.0
2014-02-20,TATACOFFEE,907.5,941.0,905.05,925.6,419363.0
2014-02-21,TATACOFFEE,934.0,947.2,910.5,915.6,136441.0
2014-02-24,TATACOFFEE,915.6,929.9,910.1,914.3,90816.0
2014-02-25,TATACOFFEE,921.45,930.0,907.0,909.3,79910.0
2014-02-26,TATACOFFEE,915.0,925.9,906.1,908.4,129078.0
2014-02-28,TATACOFFEE,915.75,923.0,906.2,909.75,91929.0
2014-03-03,TATACOFFEE,911.0,915.1,882.35,888.15,85531.0
2014-03-04,TATACOFFEE,894.7,933.9,894.6,913.35,360109.0
2014-03-05,TATACOFFEE,920.9,922.6,905.0,909.95,66123.0
2014-03-06,TATACOFFEE,916.9,928.0,910.35,914.95,112249.0
2014-03-07,TATACOFFEE,918.0,924.0,897.2,904.85,114281.0
2014-03-10,TATACOFFEE,908.0,924.0,901.2,905.1,157168.0
2014-03-11,TATACOFFEE,913.0,930.6,910.0,918.1,194409.0
2014-03-12,TATACOFFEE,921.85,977.0,921.85,953.75,811330.0
2014-03-13,TATACOFFEE,961.0,966.7,934.65,939.3,194560.0
2014-03-14,TATACOFFEE,937.0,938.9,923.0,930.7,91656.0
2014-03-18,TATACOFFEE,937.0,939.7,917.55,923.5,80751.0
2014-03-19,TATACOFFEE,929.9,947.0,922.5,933.1,113119.0
2014-03-20,TATACOFFEE,938.0,946.8,930.0,932.3,141060.0
2014-03-21,TATACOFFEE,932.05,944.9,932.05,935.55,59004.0
2014-03-22,TATACOFFEE,940.0,941.5,933.0,934.8,9995.0
2014-03-24,TATACOFFEE,935.0,945.0,935.0,942.0,92289.0
2014-03-25,TATACOFFEE,940.0,960.0,940.0,948.05,160653.0
