Date,Stock,Open,High,Low,Close,Volume
2014-01-01,TATASTEEL,425.0,426.8,423.65,425.9,1193408.0
2014-01-02,TATASTEEL,426.0,435.5,417.0,419.2,4000266.0
2014-01-03,TATASTEEL,416.5,419.4,409.0,412.5,3183770.0
2014-01-06,TATASTEEL,410.95,415.7,404.6,408.3,2704614.0
2014-01-07,TATASTEEL,409.9,411.9,392.55,394.7,3900410.0
2014-01-08,TATASTEEL,394.65,397.25,389.6,392.4,4541009.0
2014-01-09,TATASTEEL,394.35,399.3,387.6,390.8,3988227.0
2014-01-10,TATASTEEL,392.8,393.2,383.5,384.5,3265618.0
2014-01-13,TATASTEEL,385.25,389.2,381.75,385.95,2748209.0
2014-01-14,TATASTEEL,385.0,389.0,373.3,374.35,3645778.0
2014-01-15,TATASTEEL,376.0,380.0,372.6,375.0,3307933.0
2014-01-16,TATASTEEL,376.5,384.5,375.85,381.1,3644145.0
2014-01-17,TATASTEEL,381.0,385.7,375.15,377.65,3436367.0
2014-01-20,TATASTEEL,377.5,379.25,370.1,374.55,3285182.0
2014-01-21,TATASTEEL,376.0,386.0,376.0,383.6,4092506.0
2014-01-22,TATASTEEL,384.3,394.0,384.3,393.25,4633136.0
2014-01-23,TATASTEEL,392.85,393.0,387.1,389.25,2497038.0
2014-01-24,TATASTEEL,385.1,386.0,374.45,376.0,2981354.0
2014-01-27,TATASTEEL,369.4,369.65,352.0,353.55,4413205.0
2014-01-28,TATASTEEL,354.0,368.9,352.5,366.65,4850538.0
2014-01-29,TATASTEEL,368.5,369.35,356.25,358.0,4538964.0
2014-01-30,TATASTEEL,353.0,354.0,341.2,346.55,5617880.0
2014-01-31,TATASTEEL,348.4,357.9,347.55,356.05,5196593.0
2014-02-03,TATASTEEL,354.9,354.9,342.05,343.1,3559039.0
2014-02-04,TATASTEEL,338.05,346.85,336.05,342.95,7271517.0
2014-02-05,TATASTEEL,344.85,360.9,344.05,359.4,4757607.0
2014-02-06,TATASTEEL,361.9,367.2,356.25,361.25,6470705.0
2014-02-07,TATASTEEL,362.6,387.0,362.6,384.45,11721063.0
2014-02-10,TATASTEEL,386.9,393.2,380.55,382.5,6243610.0
2014-02-11,TATASTEEL,387.0,393.0,385.3,389.75,4273585.0
2014-02-12,TATASTEEL,385.55,386.9,372.75,374.35,9379584.0
2014-02-13,TATASTEEL,376.0,378.8,365.2,367.45,5852885.0
2014-02-14,TATASTEEL,368.9,372.4,359.45,370.8,6037488.0
2014-02-17,TATASTEEL,371.45,375.4,366.5,374.05,3431363.0
2014-02-18,TATASTEEL,373.95,381.9,372.1,379.65,3606426.0
2014-02-19,TATASTEEL,379.85,379.9,371.15,373.85,3167125.0
2014-02-20,TATASTEEL,369.15,369.8,364.0,366.75,4279353.0
2014-02-21,TATASTEEL,366.75,375.75,366.75,374.4,3182327.0
2014-02-24,TATASTEEL,373.8,373.8,366.3,369.2,3273797.0
2014-02-25,TATASTEEL,369.6,372.05,359.6,360.55,4386451.0
2014-02-26,TATASTEEL,361.05,362.85,348.4,349.3,10093075.0
2014-02-28,TATASTEEL,351.0,354.6,340.7,343.8,9894260.0
2014-03-03,TATASTEEL,344.0,349.5,340.7,345.3,5695060.0
2014-03-04,TATASTEEL,346.5,352.5,345.35,351.75,5705466.0
2014-03-05,TATASTEEL,354.8,359.8,351.75,355.95,6641895.0
2014-03-06,TATASTEEL,358.0,365.4,356.0,364.2,5700885.0
2014-03-07,TATASTEEL,368.2,373.4,364.55,371.1,6317650.0
2014-03-10,TATASTEEL,368.25,370.8,362.45,364.15,4958200.0
2014-03-11,TATASTEEL,364.15,364.4,342.35,343.75,9147669.0
2014-03-12,TATASTEEL,341.0,348.65,337.35,339.6,8736836.0
2014-03-13,TATASTEEL,342.0,347.9,334.25,336.85,5569432.0
2014-03-14,TATASTEEL,334.0,342.8,332.0,341.7,6159893.0
2014-03-18,TATASTEEL,346.0,348.0,339.1,340.7,4153837.0
2014-03-19,TATASTEEL,343.4,359.35,340.2,356.6,9574067.0
2014-03-20,TATASTEEL,357.2,359.85,347.65,349.95,5069953.0
2014-03-21,TATASTEEL,351.2,365.0,351.2,362.85,8153410.0
2014-03-22,TATASTEEL,362.7,363.75,360.25,362.3,663478.0
2014-03-24,TATASTEEL,364.8,367.0,356.15,363.1,5581055.0
2014-03-25,TATASTEEL,362.2,371.65,361.55,367.1,5278942.0
2014-03-26,TATASTEEL,371.4,376.0,370.3,374.8,5587071.0
2014-03-27,TATASTEEL,375.0,379.45,373.25,375.4,5741308.0
2014-03-28,TATASTEEL,378.8,383.75,376.0,381.5,3758230.0
2014-03-31,TATASTEEL,384.65,396.35,383.0,393.95,7039653.0
2014-04-01,TATASTEEL,396.0,403.35,386.5,401.15,8370865.0
2014-04-02,TATASTEEL,402.45,405.0,399.05,403.45,5362914.0
2014-04-03,TATASTEEL,403.4,412.0,393.75,397.65,7048419.0
2014-04-04,TATASTEEL,399.9,404.7,395.4,402.0,4587278.0
2014-04-07,TATASTEEL,402.55,407.5,398.2,406.65,3693056.0
2014-04-09,TATASTEEL,410.0,419.75,408.0,418.75,4995297.0
2014-04-10,TATASTEEL,418.9,424.8,411.2,417.8,5896562.0
2014-04-11,TATASTEEL,415.5,423.5,411.0,419.85,5246849.0
2014-04-15,TATASTEEL,419.55,424.5,407.7,409.15,4660433.0
