Date,Stock,Open,High,Low,Close,Volume
2014-01-01,TITAN,230.0,232.5,229.35,230.8,538938.0
2014-01-02,TITAN,229.5,235.95,225.1,226.35,1570396.0
2014-01-03,TITAN,226.0,228.75,224.0,227.4,818984.0
2014-01-06,TITAN,228.0,230.3,225.55,227.8,497192.0
2014-01-07,TITAN,230.0,230.9,224.8,226.05,713955.0
2014-01-08,TITAN,226.9,226.95,222.1,222.75,878308.0
2014-01-09,TITAN,225.15,227.45,221.4,223.85,1126716.0
2014-01-10,TITAN,224.0,227.25,219.0,220.25,983757.0
2014-01-13,TITAN,221.0,223.4,214.1,221.1,1253786.0
2014-01-14,TITAN,221.25,222.4,220.0,221.0,364394.0
2014-01-15,TITAN,221.15,222.25,216.15,218.05,1060362.0
2014-01-16,TITAN,218.05,219.7,216.65,218.2,809129.0
2014-01-17,TITAN,216.7,220.75,216.55,217.05,645915.0
2014-01-20,TITAN,216.1,217.95,215.0,216.5,392820.0
2014-01-21,TITAN,217.0,220.3,216.1,217.8,875408.0
2014-01-22,TITAN,217.2,219.25,216.25,217.35,656092.0
2014-01-23,TITAN,216.75,227.4,216.2,225.35,2570554.0
2014-01-24,TITAN,226.4,227.9,218.0,218.7,2042034.0
2014-01-27,TITAN,217.0,218.0,212.35,215.85,830741.0
2014-01-28,TITAN,216.5,218.6,214.95,217.0,440878.0
2014-01-29,TITAN,218.4,219.0,212.0,214.65,1075952.0
2014-01-30,TITAN,210.0,224.4,202.45,222.8,5930481.0
2014-01-31,TITAN,222.8,223.5,216.65,221.55,1223691.0
2014-02-03,TITAN,220.15,227.5,218.65,219.95,1428280.0
2014-02-04,TITAN,218.7,225.9,217.1,221.75,1093372.0
2014-02-05,TITAN,221.2,224.0,219.0,220.9,545189.0
2014-02-06,TITAN,221.9,226.2,219.35,225.55,977396.0
2014-02-07,TITAN,226.05,228.6,223.15,225.7,1025574.0
2014-02-10,TITAN,225.0,233.75,223.6,230.95,1757160.0
2014-02-11,TITAN,231.25,235.65,230.1,232.3,1510573.0
2014-02-12,TITAN,233.0,233.8,228.6,230.3,714283.0
2014-02-13,TITAN,230.0,232.0,226.6,229.35,755689.0
2014-02-14,TITAN,230.0,232.6,226.65,231.55,723069.0
2014-02-17,TITAN,233.65,236.3,225.15,228.95,2328888.0
2014-02-18,TITAN,231.0,231.0,225.95,228.65,609396.0
2014-02-19,TITAN,228.9,233.9,228.2,232.6,1306199.0
2014-02-20,TITAN,233.0,237.8,231.1,234.15,1303544.0
2014-02-21,TITAN,235.2,236.8,232.8,234.05,691017.0
2014-02-24,TITAN,234.7,237.5,231.5,235.7,729670.0
2014-02-25,TITAN,237.35,244.3,236.5,243.2,2388002.0
2014-02-26,TITAN,244.5,247.3,242.5,245.6,1495138.0
2014-02-28,TITAN,246.1,246.9,240.05,242.5,716553.0
2014-03-03,TITAN,242.5,251.5,239.5,249.25,2029854.0
2014-03-04,TITAN,250.5,258.4,250.3,254.8,2544333.0
2014-03-05,TITAN,252.55,252.85,244.0,245.65,1424629.0
2014-03-06,TITAN,245.6,250.6,243.15,246.8,1075669.0
2014-03-07,TITAN,249.6,256.4,246.0,255.0,1893634.0
2014-03-10,TITAN,254.0,258.5,249.3,250.55,1527237.0
2014-03-11,TITAN,252.25,254.5,247.0,248.75,1189688.0
2014-03-12,TITAN,248.5,257.0,248.4,252.25,1350784.0
2014-03-13,TITAN,254.0,258.5,248.4,251.65,1672077.0
2014-03-14,TITAN,251.75,254.35,248.5,253.15,653400.0
2014-03-18,TITAN,254.95,257.0,253.15,255.35,1294867.0
2014-03-19,TITAN,256.0,257.25,251.55,254.85,829853.0
2014-03-20,TITAN,257.0,262.45,252.0,253.4,2161044.0
2014-03-21,TITAN,256.4,257.4,253.4,255.0,948531.0
2014-03-22,TITAN,255.0,256.5,254.05,254.95,52070.0
2014-03-24,TITAN,254.3,258.5,251.15,252.9,637996.0
2014-03-25,TITAN,253.05,257.3,253.05,255.4,654922.0
2014-03-26,TITAN,256.0,256.9,248.2,248.75,658823.0
2014-03-27,TITAN,249.2,254.65,246.1,253.8,1316243.0
2014-03-28,TITAN,254.8,256.1,250.4,253.15,674424.0
2014-03-31,TITAN,255.0,268.35,254.1,262.7,2092440.0
2014-04-01,TITAN,266.45,268.0,260.6,265.15,986673.0
2014-04-02,TITAN,266.45,267.0,263.0,265.35,357890.0
2014-04-03,TITAN,266.0,270.85,263.0,268.0,1540496.0
2014-04-04,TITAN,270.1,274.3,266.0,269.8,961371.0
2014-04-07,TITAN,269.0,269.0,260.1,262.75,856375.0
2014-04-09,TITAN,263.1,265.9,261.85,264.25,832258.0
2014-04-10,TITAN,263.2,267.9,262.2,262.95,638846.0
2014-04-11,TITAN,262.0,266.4,261.5,262.75,470768.0
2014-04-15,TITAN,260.35,265.3,255.45,257.4,667585.0
2014-04-16,TITAN,257.0,262.0,254.6,255.65,580798.0
2014-04-17,TITAN,256.0,259.0,255.3,257.2,426231.0
2014-04-21,TITAN,255.0,262.7,254.05,259.45,785424.0
2014-04-22,TITAN,259.35,264.75,258.1,261.25,931899.0
2014-04-23,TITAN,262.0,266.5,251.5,255.0,3942894.0
2014-04-25,TITAN,255.0,259.85,253.0,258.2,724290.0
2014-04-28,TITAN,258.0,259.8,255.3,258.3,400140.0
2014-04-29,TITAN,258.45,262.2,255.7,260.0,516059.0
2014-04-30,TITAN,261.0,262.85,252.8,254.85,604717.0
2014-05-02,TITAN,258.0,259.7,255.0,258.05,491561.0
2014-05-05,TITAN,258.0,263.0,255.75,262.1,695564.0
2014-05-06,TITAN,263.95,277.4,257.7,271.2,3380968.0
2014-05-07,TITAN,278.5,279.9,271.1,272.45,3860273.0
2014-05-08,TITAN,273.25,278.8,269.7,277.45,1584633.0
2014-05-09,TITAN,277.5,282.8,275.65,277.5,1505616.0
2014-05-12,TITAN,278.0,287.5,274.0,285.05,1545871.0
2014-05-13,TITAN,286.2,309.6,286.2,296.1,2241102.0
2014-05-14,TITAN,298.0,309.4,291.3,304.7,1663916.0
2014-05-15,TITAN,307.9,320.0,306.45,317.4,3647048.0
2014-05-16,TITAN,325.0,344.75,305.15,307.0,2831569.0
2014-05-19,TITAN,307.1,315.0,297.65,307.3,1545228.0
2014-05-20,TITAN,311.9,322.25,307.0,314.1,2443570.0
2014-05-21,TITAN,317.6,321.95,309.5,310.45,1064527.0
2014-05-22,TITAN,341.45,353.1,330.1,331.4,6665571.0
2014-05-23,TITAN,335.0,335.7,324.55,325.35,2001146.0
2014-05-26,TITAN,327.8,328.8,313.4,321.25,1183200.0
2014-05-27,TITAN,322.9,322.9,315.0,319.0,577127.0
2014-05-28,TITAN,321.7,325.0,313.1,315.1,904132.0
2014-05-29,TITAN,315.95,321.4,312.4,313.85,1251206.0
2014-05-30,TITAN,315.0,316.9,308.8,310.0,776871.0
2014-06-02,TITAN,307.1,318.2,307.1,315.15,656591.0
2014-06-03,TITAN,316.0,322.55,314.1,320.25,1463591.0
2014-06-04,TITAN,323.45,328.4,318.05,320.2,1421190.0
2014-06-05,TITAN,323.0,325.9,320.2,323.35,1024094.0
2014-06-06,TITAN,325.9,328.5,316.0,327.25,1220841.0
